NMO
310
mo_idx  moeng    electron_capture_cross_section
194 0.07861834  0.075565402
195 0.07861834  0.075565396
196 0.07861834  0.048339061
197 0.079685426 1.095087953
198 0.079685426 1.397711141
199 0.079685426 1.397711112
200 0.083422873 24.3106244
201 0.083422873 32.29712887
202 0.083488407 0.372272477
203 0.083488407 0.372272144
204 0.083488407 0.282416869
205 0.084541644 0.549141385
206 0.084541644 0.549141617
207 0.084541644 0.721270279
208 0.086134871 8.899178136
209 0.086134872 7.93501576
210 0.087465631 0.431434925
211 0.087465631 0.296426728
212 0.087465631 0.296426518
213 0.088219978 0.000866399
214 0.091184067 0.134095512
215 0.091184067 0.134095425
216 0.091184067 0.041952122
217 0.09172975  0.948447412
218 0.093076587 0.008959007
219 0.093076587 0.008959001
220 0.093076587 0.002535595
221 0.094621468 6.367004425
222 0.094621468 4.30935739
223 0.095142549 0.001459351
224 0.097164512 0.786305994
225 0.097626967 0.125407207
226 0.097626967 0.117499769
227 0.098295394 1.136187059
228 0.098295395 0.483344881
229 0.098295395 0.483345366
230 0.099596217 16.66771119
231 0.099596217 17.54217659
232 0.099596218 17.5421771
233 0.102581619 0.01107648
234 0.102581619 0.017109482
235 0.102581619 0.017109465
236 0.103285909 2.051927364
237 0.103285909 1.543403746
238 0.10450874  0.013395922
239 0.10450874  0.088562226
240 0.10450874  0.088562248
241 0.105742386 1.892179107
242 0.105742386 1.89217738
243 0.105742387 1.332283878
244 0.106186984 0.006430337
245 0.106443954 0.002490124
246 0.106443955 0.033879951
247 0.106443955 0.033879998
248 0.106799158 1.042381762
249 0.106799158 1.369064059
250 0.106969699 18.16077896
251 0.106969699 18.16078245
252 0.106969699 19.28525447
253 0.108419212 0.107508072
254 0.108419212 0.152636169
255 0.108419212 0.152636331
256 0.110554226 0.049394608
257 0.112331597 0.106008201
258 0.112331597 0.111482601
259 0.112331597 0.111483069
260 0.112358193 1.185015242
261 0.112358194 1.548328745
262 0.112358194 1.548328677
263 0.112998379 0.004338826
264 0.11299838  0.004338818
265 0.11299838  0.001061418
266 0.114193024 16.35473992
267 0.114193024 14.33083589
268 0.114193024 14.3308383
269 0.115703177 0.619698961
270 0.115703177 0.786153903
271 0.120807287 23.80888919
272 0.120807287 24.85881778
273 0.120807288 24.8588221
274 0.122898727 0.004704576
275 0.122898728 0.306789676
276 0.122898728 0.306788905
277 0.123530264 0.643421332
278 0.123530265 1.209217814
279 0.123530265 1.209218133
280 0.127441766 44.80082755
281 0.127441766 47.56494899
282 0.127441766 47.56494032
283 0.128002823 0.0037758
284 0.128142207 0.005891864
285 0.128142207 0.005891473
286 0.128142207 0.015689627
287 0.128497119 34.61711441
288 0.128497119 0.128189551
289 0.128497119 33.8346505
290 0.128500463 0.084675293
291 0.128500463 33.83465182
292 0.130607559 1.687115111
293 0.132010615 4.66945E-07
294 0.132010616 0.035585924
295 0.132010616 0.035585995
296 0.133574338 0.016530959
297 0.133574338 0.016530868
298 0.133574338 0.000221292
299 0.133644871 2.523459934
300 0.133644871 6.388918002
301 0.133644872 6.388916993
302 0.133792074 0.894579304
303 0.135438937 4.284166577
304 0.135438937 4.284164395
305 0.135438937 3.3555678
306 0.135921662 0.91592852
307 0.135921662 0.709045639
308 0.136817298 0.000209753
309 0.136817299 0.063482781
310 0.136817299 0.063482831
